7884,33,weapon,Toxic_Damage,Cold_Damage,Status_Chance,Slash_Damage,Damage_vs_Grineer,Heat_Damage,Fire_Rate__Attack_Speed,Channeling_Damage,Magazine_Capacity,Zoom,Range,Reload_Speed,Damage_vs_Corpus,Status_Duration,none,Critical_Damage,Damage_vs_Infested,Puncture_Damage,Finisher_Damage,Multishot,Critical_Chance,Impact_Damage,Flight_Speed,Weapon_Recoil,Channeling_Efficiency,Ammo_Maximum,Combo_Duration,Damage__Melee_Damage,Punch_Through,Electric_Damage,Critical_Chance_on_Slide_Attack,price
Opticor,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,50,-10000,-10000,-10000,100,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,2000
Lacera,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,100,-10000,440
Akbolto,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,5000
Akbolto,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,5000
Volnus,-10000,-10000,-10000,100,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,700
Astilla,-10000,100,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,1200
Astilla,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,100,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,1500
Plague Keewar,-10000,-10000,50,-10000,100,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,900
Plague Keewar,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,100,500
Plague Kripath,-10000,100,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,1000
Cassowar,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,100,-10000,-10000,-10000,650
Kohm,-10000,-10000,100,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,1000
Volnus,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,500
Volnus,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,50,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,100,500
Plague Kripath,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,100,-10000,-10000,100,1000
Fusilai,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,100,-10000,-10000,40
Euphona Prime,100,-10000,-10000,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,400
Zenistar,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,800
Tipedo,-10000,100,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,30
Fragor,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,30
Kesheg,100,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,30
Dual Toxocyst,-10000,-10000,100,-10000,-10000,-10000,100,-10000,50,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,30
Plague Kripath,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,240
Latron,-10000,100,100,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,30
Despair,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,100,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,15
Drakgoon,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,450
Scoliac,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,50,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,5000
Aklex,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,160
Sweeper,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,30
Pandero,100,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,350
Twin Vipers,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,-10000,-10000,300
Braton,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,100,-10000,-10000,-10000,-10000,-10000,-10000,-10000,-10000,100,-10000,300
